Model,Acc (%),Throughput (img/s),Energy (J),Size (MB),Latency (ms),CO₂ (g)
Baseline (FP32),84.15,79973.0,652.459,5.14,1.582,0.0375
Pruned 20%,87.03,83398.9,631.8095,5.14,1.517,0.0363
Pruned 40%,86.89,82919.8,653.9246,5.14,1.525,0.0376
Pruned 60%,86.55,82890.4,629.6221,5.14,1.526,0.0362
Pruned 80%,84.86,82300.9,641.3683,5.14,1.537,0.0369
Struct Pruned 20%,86.11,74775.0,717.7481,3.93,1.692,0.0413
Struct Pruned 40%,83.72,77886.3,640.6191,2.81,1.624,0.0368
Struct Pruned 60%,78.3,82929.0,558.2913,1.81,1.525,0.0321
Dynamic Quantized INT8,84.13,2911.9,2373.2997,2.13,43.437,0.1365
Static Quantized INT8,84.52,9698.4,1128.7985,1.31,13.042,0.0649
Pruned 20% + Dyn Quant,86.94,2938.2,2205.5896,2.13,43.049,0.1268
Pruned 40% + Dyn Quant,86.82,2971.3,2212.0446,2.13,42.569,0.1272
Pruned 60% + Dyn Quant,86.53,2958.3,2229.0677,2.13,42.756,0.1282
Pruned 20% + Stat Quant,86.89,9482.4,1191.6231,1.31,13.339,0.0685
Pruned 40% + Stat Quant,87.12,9807.5,1156.6978,1.31,12.897,0.0665
Pruned 60% + Stat Quant,86.57,9642.2,1179.5057,1.31,13.118,0.0678
QIGA Optimized,86.51,82702.5,652.4791,5.14,1.529,0.0375
QISA Optimized,86.35,82063.7,635.5129,5.14,1.541,0.0365
RN18 Baseline,94.12,37782.8,2452.9949,42.7,3.348,0.141
RN18 Pruned 20%,94.15,37694.0,2556.8185,42.7,3.356,0.147
RN18 Pruned 40%,94.28,38406.1,2605.6931,42.7,3.293,0.1498
RN18 Pruned 60%,94.1,37965.7,2565.2513,42.7,3.332,0.1475
RN18 Dyn Quant,94.1,319.1,14970.7047,42.7,396.438,0.8608
RN18 QIGA,93.97,37374.6,2468.1614,42.7,3.384,0.1419
RN18 QISA,94.16,37852.4,2660.2509,42.7,3.342,0.153
VGG16 Baseline,86.74,61004.7,1278.7778,128.33,2.073,0.0735
VGG16 Pruned 20%,88.02,61540.2,1254.6489,128.33,2.055,0.0721
VGG16 Pruned 40%,88.14,62130.5,1208.5037,128.33,2.036,0.0695
VGG16 Pruned 60%,88.13,61830.5,1255.6602,128.33,2.046,0.0722
VGG16 Dyn Quant,86.73,585.1,8374.6941,74.22,216.196,0.4815
VGG16 QIGA,87.04,60912.3,1233.7176,128.33,2.077,0.0709
VGG16 QISA,86.61,61736.1,1243.4762,128.33,2.049,0.0715
